"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"113" 20647 "F" 3 653 22 "2015-08-11" 55 0.758147443144371 0.57597825666836
"114" 20793 "M" 3 525 26 "2015-12-15" 59 0.758147443144371 0.491656799065152
"115" 20794 "M" 1 523 23 "2015-12-17" 59 -1.20237274604628 -1.46879067474531
"116" 20795 "M" 6.5 523 23 "2015-12-17" 59 1.44444226340959 1.17802433471056
"117" 20799 "M" 1 523 23 "2015-12-17" 59 -1.20237274604628 -1.46879067474531
"118" 20801 "M" 1.5 523 28 "2015-12-17" 59 -0.446949062026105 -0.713366990725136
"119" 20803 "M" 6.5 525 24 "2015-12-15" 59 1.44444226340959 1.17795161933037
"120" 21208 "F" 1 211 17 "2016-10-23" 69 -1.20237274604628 -1.08971162057442
"121" 21210 "F" 1.5 211 20 "2016-10-23" 69 -0.446949062026105 -0.334287936554251
"122" 21213 "F" 9 215 16 "2016-10-19" 69 2.13518879331661 2.24770448802809
"123" 21219 "F" 1.5 202 33 "2016-11-01" 70 -0.446949062026105 -0.314049273562956
"124" 21221 "F" 1.5 202 28 "2016-11-01" 70 -0.446949062026105 -0.314049273562956
"125" 21222 "F" 1 194 21 "2016-11-09" 70 -1.20237274604628 -1.06918209606238
"126" 21223 "F" 2.5 194 20 "2016-11-09" 70 0.517891453898414 0.651082103882317
"127" 21225 "F" 2.5 183 18 "2016-11-20" 70 0.517891453898414 0.651482038473352
"128" 21231 "F" 1.5 176 22 "2016-11-27" 70 -0.446949062026105 -0.313103973620509
"129" 21232 "F" 1 176 17 "2016-11-27" 70 -1.20237274604628 -1.06852765764068
"130" 21235 "F" 1 173 19 "2016-11-30" 70 -1.20237274604628 -1.0684185845704
"131" 21243 "F" 1 161 20.5 "2016-12-12" 71 -1.20237274604628 -1.04807084850882
"132" 21248 "F" 2 166 17 "2016-12-07" 71 0.10436893498713 0.258489044074115
"133" 21252 "F" 2 155 15 "2016-12-18" 71 0.10436893498713 0.25888897866515
"134" 21255 "F" 2 158 18 "2016-12-15" 71 0.10436893498713 0.258779905594868
"135" 21260 "F" 1.7 153 22 "2016-12-20" 71 -0.222817455654927 -0.0682246965967181
"136" 21261 "F" 1 153 20 "2016-12-20" 71 -1.20237274604628 -1.04777998698807
"137" 21262 "M" 3 140 19 "2017-01-03" 72 0.758147443144371 0.764503278897205
"138" 21263 "M" 2 140 22 "2017-01-03" 72 0.10436893498713 0.110724770739965
"139" 21264 "F" 1 137 16 "2017-01-05" 72 -1.20237274604628 -1.02728682016612
"140" 21265 "M" 4.5 138 23 "2017-01-05" 72 1.17675148860517 1.18318003973819
"141" 21266 "F" 2 137 18 "2017-01-05" 72 0.10436893498713 0.279454860867292
"142" 21267 "M" 8 138 20 "2017-01-05" 72 1.69182103958333 1.69824959071635
"143" 21268 "M" 8 138 21 "2017-01-05" 72 1.69182103958333 1.69824959071635
"144" 21269 "M" 4 138 22 "2017-01-05" 72 1.08690660805893 1.09333515919195
"145" 21270 "M" 1 138 27 "2017-01-05" 72 -1.20237274604628 -1.19594419491325
"146" 21271 "M" 2.5 138 29 "2017-01-05" 72 0.517891453898414 0.524320005031437
"147" 21272 "F" 1.8 139 19 "2017-01-03" 72 -0.177721033973639 -0.00270782347366516
"148" 21273 "M" 3 140 16 "2017-01-03" 72 0.758147443144371 0.764503278897205
"149" 21274 "M" 5 140 21 "2017-01-03" 72 1.24921375660039 1.25556959235322
"150" 21275 "M" 1.5 140 24 "2017-01-03" 72 -0.446949062026105 -0.440593226273271
"151" 21276 "F" 2.2 131 16 "2017-01-11" 72 0.368036058310642 0.543340130331369
"152" 21277 "F" 1.5 131 17 "2017-01-11" 72 -0.446949062026105 -0.271644990005379
"153" 21280 "M" 8 132 15 "2017-01-11" 72 1.69182103958333 1.69846773685692
"154" 21281 "F" 1.5 131 16 "2017-01-11" 72 -0.446949062026105 -0.271644990005379
